Cost Center,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
591,,,,,,2,,,,,3,3,,,,,,,,,3,3,3,3,4,6
459,,,1,,,,,,,,5,,,,1,,,1,,,,,,,,
626,,,,,,,,,,,7,7,18,27,2,28,37,32,37,43,6,6,6,7,7,7
481,,,,,,,,,,,11,11,,,,,,,,,9,9,1,1,11,11
260,,,,,,,,,,12,12,12,,,,,,,,,,,,,,
530,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
98,,9,,,,,,,9,,,,,9,,,,,,,,2,,,,
386,,,2,2,2,2,2,2,2,2,2,2,,,,,2,2,2,2,,1,5,,,2
670,,,,,,,,,,,,,4,4,4,4,4,4,4,4,,,,,,
550,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
406,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
553,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,1,2,2,2,,,,,,
617,3,3,3,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,4,1,1,1,2,2,2
237,4,4,3,2,2,1,1,1,1,1,1,1,3,4,3,3,3,4,4,3,1,1,1,1,2,1
502,,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,,,
381,2,2,2,2,2,2,1,1,1,1,1,1,9,9,9,9,9,9,9,9,14,14,14,14,14,15
412,4,3,3,5,3,5,3,1,4,5,3,8,4,3,3,4,3,4,2,5,3,3,3,3,3,3
372,1,,1,1,2,2,2,2,2,1,1,3,1,,1,,2,1,2,1,1,1,1,1,1,1
598,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
413,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,3,1,2,2,2,1,3
367,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2
578,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,2
538,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2
157,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,1,1,,,
30,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
490,1,1,3,2,2,2,2,2,2,2,2,2,13,15,16,14,11,12,13,,1,1,1,1,1,1
396,2,3,2,2,2,2,2,2,2,2,2,2,34,45,4,43,43,41,41,2,34,33,33,34,34,34
443,3,3,2,3,2,2,2,2,2,2,2,2,39,45,46,46,55,47,48,46,44,44,45,45,46,46
18,4,3,1,2,2,2,2,2,3,2,2,2,3,3,1,4,3,4,4,2,2,1,1,2,2,2
453,2,2,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,2,2,2,2,2,2
69,1,,2,2,2,3,3,3,3,3,3,3,1,,2,2,2,2,2,2,2,2,2,2,2,2
385,3,4,3,8,4,5,3,3,3,3,3,3,2,4,3,6,2,3,2,3,7,2,2,2,3,4
555,3,2,1,3,3,3,3,3,3,3,3,3,3,2,1,3,3,2,3,3,2,2,2,2,3,2
169,6,6,2,3,3,3,3,3,3,3,3,3,5,6,2,4,4,4,4,1,3,3,3,3,3,3
514,7,6,17,4,3,3,3,3,3,3,3,3,6,6,17,6,6,6,4,5,2,2,2,2,3,2
444,3,2,2,3,3,3,3,3,3,3,3,3,7,7,7,9,9,9,9,9,7,7,7,7,7,7
456,1,3,3,3,3,3,3,3,3,3,3,3,11,14,13,12,13,12,12,12,2,2,2,2,2,2
446,3,3,3,3,3,3,3,3,3,3,3,3,11,13,12,13,11,12,12,13,1,1,1,1,1,1
454,2,2,3,3,2,2,2,3,3,3,3,3,27,32,34,36,49,35,32,3,2,2,2,2,2,2
534,3,2,3,3,3,3,3,3,3,3,3,4,3,2,3,5,11,2,3,3,2,2,2,2,2,2
592,3,2,3,3,3,3,3,3,3,3,3,6,2,2,3,1,3,3,3,3,3,3,3,3,3,3
600,3,2,3,3,3,3,3,3,3,3,3,6,2,2,3,1,4,3,3,3,3,3,3,3,3,3
527,5,5,5,3,3,2,3,3,3,3,5,3,26,34,38,32,23,33,43,52,3,38,37,37,78,69
649,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,2,1,2,2,2,2,2,2
88,5,4,6,4,4,4,4,4,1,1,1,1,4,4,6,6,5,3,3,2,1,1,1,1,1,1
369,,,,6,3,4,4,4,4,4,4,4,,,,,,,,1,3,3,3,3,3,3
388,3,6,4,4,4,4,4,4,4,4,4,4,2,6,4,4,4,4,4,4,3,3,3,3,3,3
512,3,1,3,5,4,4,4,4,4,4,4,4,2,1,3,3,6,3,11,4,3,2,3,3,4,3
567,3,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,3,3,3,3,3,3
559,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3
315,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
