,LocationCode,Location,Company,DepartmentNumber,CostCenter
86,3000,Finland,Company D,78_8,612
87,3000,Finland,Company D,78_8,650
88,3000,Finland,Company D,78_8,14
89,3000,Finland,Company D,78_8,17
90,3000,Finland,Company D,78_8,18
91,3000,Finland,Company D,78_8,381
92,3000,Finland,Company D,78_8,392
93,3000,Finland,Company D,78_8,393
94,3000,Finland,Company D,78_8,394
95,3000,Finland,Company D,78_8,581
96,3000,Finland,Company D,78_8,584
97,3000,Finland,Company D,78_8,648
98,3000,Finland,Company D,78_8,649
99,3000,Finland,Company D,78_8,5
100,3000,Finland,Company D,78_8,7
101,3000,Finland,Company D,78_8,8
102,3000,Finland,Company D,78_8,10
103,3000,Finland,Company D,78_8,395
104,3000,Finland,Company D,78_8,15
105,3000,Finland,Company D,78_8,386
106,3000,Finland,Company D,78_8,3
107,3000,Finland,Company D,78_8,4
108,3000,Finland,Company D,78_8,150
109,3000,Finland,Company D,78_8,580
110,3000,Finland,Company D,78_8,585
111,3000,Finland,Company D,78_8,667
112,4000,Japan,Company D,72_9,22
113,4000,Japan,Company D,72_9,440
114,4000,Japan,Company D,72_9,432
115,4000,Japan,Company D,72_9,437
116,4000,Japan,Company D,72_9,608
117,4000,Japan,Company D,72_9,21
118,4000,Japan,Company D,72_9,25
119,4000,Japan,Company D,72_9,422
120,4000,Japan,Company D,72_9,433
121,4000,Japan,Company D,72_9,436
122,4000,Japan,Company D,72_9,607
123,4000,Japan,Company D,72_9,33
124,4000,Japan,Company D,72_9,35
125,4000,Japan,Company D,72_9,423
126,4000,Japan,Company D,72_9,424
127,4000,Japan,Company D,72_9,431
128,4000,Japan,Company D,72_9,438
129,4000,Japan,Company D,72_9,20
130,4000,Japan,Company D,72_9,31
131,4000,Japan,Company D,72_9,34
132,4000,Japan,Company D,72_9,435
133,4000,Japan,Company D,72_9,576
134,4000,Japan,Company D,72_9,646
135,4000,Japan,Company D,72_9,19
136,4000,Japan,Company D,72_9,26
137,4000,Japan,Company D,72_9,28
138,4000,Japan,Company D,72_9,578
139,4000,Japan,Company D,72_9,30
140,4000,Japan,Company D,72_9,32
141,4000,Japan,Company D,72_9,45
142,4000,Japan,Company D,72_9,421
143,4000,Japan,Company D,72_9,426
144,4000,Japan,Company D,72_9,427
145,4000,Japan,Company D,72_9,430
146,4000,Japan,Company D,72_9,439
147,4000,Japan,Company D,72_9,579
148,4000,Japan,Company D,72_9,23
149,4000,Japan,Company D,72_9,24
150,4000,Japan,Company D,72_9,27
151,4000,Japan,Company D,72_9,29
152,4000,Japan,Company D,72_9,425
153,4000,Japan,Company D,72_9,428
154,4000,Japan,Company D,72_9,429
155,4000,Japan,Company D,72_9,434
156,4000,Japan,Company D,72_9,552
157,4000,Japan,Company D,72_9,577
158,4000,Japan,Company D,72_9,645
159,5000,USA,Company E,46_2,190
160,5000,USA,Company E,46_2,640
161,5000,USA,Company E,46_2,39
162,5000,USA,Company E,46_2,38
163,5000,USA,Company E,46_2,191
164,5000,USA,Company E,46_2,41
165,5000,USA,Company E,46_2,193
166,5000,USA,Company E,46_2,604
167,5000,USA,Company E,46_2,605
168,5000,USA,Company E,46_2,644
169,5000,USA,Company E,46_2,642
170,5000,USA,Company E,46_2,643
171,5000,USA,Company E,46_2,36
172,5000,USA,Company E,46_2,602
173,5000,USA,Company E,46_2,603
174,5000,USA,Company E,46_2,606
175,5000,USA,Company E,46_2,641
176,5000,USA,Company E,46_2,37
177,5000,USA,Company E,46_2,40
178,5000,USA,Company E,46_2,192
179,6000,USA,Company D,18_2,42
180,7000,Denmark,Company A,39_4,463
181,7000,Denmark,Company A,39_4,460
182,7000,Denmark,Company A,39_4,461
183,7000,Denmark,Company A,39_4,465
184,7000,Denmark,Company A,39_4,469
185,7000,Denmark,Company A,39_4,659
186,7000,Denmark,Company A,39_4,467
187,7000,Denmark,Company A,39_4,466
188,7000,Denmark,Company A,39_4,464
189,7000,Denmark,Company A,39_4,468
190,7000,Denmark,Company A,39_4,462
191,7000,Denmark,Company A,72_4,378
192,7000,Denmark,Company A,21_7,547
193,7000,Denmark,Company A,21_7,80
194,7000,Denmark,Company A,84_6,531
195,7000,Denmark,Company A,84_6,535
196,7000,Denmark,Company A,84_6,532
197,7000,Denmark,Company A,84_6,54
198,7000,Denmark,Company A,84_6,628
199,7000,Denmark,Company A,84_6,662
200,7000,Denmark,Company A,84_6,533
201,7000,Denmark,Company A,84_6,534
202,7000,Denmark,Company A,84_6,536
203,7000,Denmark,Company A,61_7,376
204,7000,Denmark,Company A,61_7,528
205,7000,Denmark,Company A,61_7,61
206,7000,Denmark,Company A,61_7,540
207,7000,Denmark,Company A,20_5,455
208,7000,Denmark,Company A,20_5,530
209,7000,Denmark,Company A,20_5,459
210,7000,Denmark,Company A,20_5,453
211,7000,Denmark,Company A,20_5,457
212,7000,Denmark,Company A,20_5,458
213,7000,Denmark,Company A,20_5,454
214,7000,Denmark,Company A,20_5,456
215,7000,Denmark,Company A,20_5,663
216,7000,Denmark,Company A,98_4,625
217,7000,Denmark,Company A,98_4,144
218,7000,Denmark,Company A,98_4,473
219,7000,Denmark,Company A,98_4,475
220,7000,Denmark,Company A,98_4,476
221,7000,Denmark,Company A,98_4,477
222,7000,Denmark,Company A,98_4,482
223,7000,Denmark,Company A,98_4,489
224,7000,Denmark,Company A,98_4,484
225,7000,Denmark,Company A,98_4,485
226,7000,Denmark,Company A,98_4,483
227,7000,Denmark,Company A,98_4,486
228,7000,Denmark,Company A,98_4,488
229,7000,Denmark,Company A,98_4,47
230,7000,Denmark,Company A,98_4,470
231,7000,Denmark,Company A,98_4,474
232,7000,Denmark,Company A,98_4,478
233,7000,Denmark,Company A,98_4,480
234,7000,Denmark,Company A,98_4,487
235,7000,Denmark,Company A,98_4,490
236,7000,Denmark,Company A,98_4,660
237,7000,Denmark,Company A,98_4,471
238,7000,Denmark,Company A,98_4,472
239,7000,Denmark,Company A,98_4,479
240,7000,Denmark,Company A,98_4,481
241,7000,Denmark,Company A,98_4,627
242,7000,Denmark,Company A,98_4,673
243,7000,Denmark,Company A,36_4,447
244,7000,Denmark,Company A,36_4,624
245,7000,Denmark,Company A,36_4,442
246,7000,Denmark,Company A,36_4,443
247,7000,Denmark,Company A,36_4,449
248,7000,Denmark,Company A,36_4,493
249,7000,Denmark,Company A,36_4,495
250,7000,Denmark,Company A,36_4,441
251,7000,Denmark,Company A,36_4,445
252,7000,Denmark,Company A,36_4,450
253,7000,Denmark,Company A,36_4,491
254,7000,Denmark,Company A,36_4,64
255,7000,Denmark,Company A,36_4,658
256,7000,Denmark,Company A,36_4,672
257,7000,Denmark,Company A,36_4,448
258,7000,Denmark,Company A,36_4,48
259,7000,Denmark,Company A,36_4,492
260,7000,Denmark,Company A,36_4,494
261,7000,Denmark,Company A,36_4,444
262,7000,Denmark,Company A,36_4,446
263,7000,Denmark,Company A,36_4,451
264,7000,Denmark,Company A,64_6,509
265,7000,Denmark,Company A,64_6,511
266,7000,Denmark,Company A,64_6,513
267,7000,Denmark,Company A,64_6,496
268,7000,Denmark,Company A,64_6,503
269,7000,Denmark,Company A,64_6,504
270,7000,Denmark,Company A,64_6,505
271,7000,Denmark,Company A,64_6,499
272,7000,Denmark,Company A,64_6,510
273,7000,Denmark,Company A,64_6,512
274,7000,Denmark,Company A,64_6,518
275,7000,Denmark,Company A,64_6,519
276,7000,Denmark,Company A,64_6,507
277,7000,Denmark,Company A,64_6,522
278,7000,Denmark,Company A,64_6,523
279,7000,Denmark,Company A,64_6,515
280,7000,Denmark,Company A,64_6,508
281,7000,Denmark,Company A,64_6,516
282,7000,Denmark,Company A,64_6,517
283,7000,Denmark,Company A,64_6,497
284,7000,Denmark,Company A,64_6,520
285,7000,Denmark,Company A,64_6,521
286,7000,Denmark,Company A,64_6,514
287,7000,Denmark,Company A,64_6,674
288,7000,Denmark,Company A,64_6,500
289,7000,Denmark,Company A,64_6,502
290,7000,Denmark,Company A,64_6,506
291,7000,Denmark,Company A,64_6,626
292,7000,Denmark,Company A,64_6,197
293,7000,Denmark,Company A,64_6,498
294,7000,Denmark,Company A,64_6,501
295,7000,Denmark,Company A,64_6,661
296,7000,Denmark,Company B,70_9,635
297,7000,Denmark,Company B,70_9,44
298,7000,Denmark,Company B,70_9,634
299,7000,Denmark,Company B,70_9,146
300,7000,Denmark,Company B,70_9,544
301,7000,Denmark,Company B,70_9,147
302,7000,Denmark,Company B,92_8,145
303,7000,Denmark,Company B,92_8,155
304,7000,Denmark,Company B,92_8,154
305,7000,Denmark,Company B,92_8,636
306,7000,Denmark,Company B,92_8,153
307,7000,Denmark,Company B,92_8,156
308,7000,Denmark,Company B,92_8,172
309,7000,Denmark,Company B,92_8,152
310,7000,Denmark,Company B,92_8,573
311,7000,Denmark,Company B,92_8,598
312,7000,Denmark,Company B,22_1,561
313,7000,Denmark,Company B,22_1,563
314,7000,Denmark,Company B,22_1,83
315,7000,Denmark,Company B,22_1,588
316,7000,Denmark,Company B,22_1,59
317,7000,Denmark,Company B,22_1,84
318,7000,Denmark,Company B,22_1,570
319,7000,Denmark,Company B,22_1,81
320,7000,Denmark,Company B,22_1,87
321,7000,Denmark,Company B,22_1,562
322,7000,Denmark,Company B,22_1,565
323,7000,Denmark,Company B,22_1,567
324,7000,Denmark,Company B,22_1,569
325,7000,Denmark,Company B,22_1,571
326,7000,Denmark,Company B,22_1,572
327,7000,Denmark,Company B,22_1,85
328,7000,Denmark,Company B,22_1,86
329,7000,Denmark,Company B,22_1,88
330,7000,Denmark,Company B,22_1,564
331,7000,Denmark,Company B,22_1,568
332,7000,Denmark,Company B,22_1,82
333,7000,Denmark,Company B,22_1,566
334,7000,Denmark,Company B,22_1,632
335,7000,Denmark,Company B,67_1,75
336,7000,Denmark,Company B,67_1,76
337,7000,Denmark,Company B,67_1,77
338,7000,Denmark,Company B,67_1,631
339,7000,Denmark,Company B,67_1,79
340,7000,Denmark,Company B,67_1,67
341,7000,Denmark,Company B,67_1,73
342,7000,Denmark,Company B,67_1,78
343,7000,Denmark,Company B,67_1,69
344,7000,Denmark,Company B,67_1,560
345,7000,Denmark,Company B,67_1,587
346,7000,Denmark,Company B,67_1,72
347,7000,Denmark,Company B,67_1,74
348,7000,Denmark,Company B,67_1,68
349,7000,Denmark,Company B,67_1,71
350,7000,Denmark,Company B,67_1,158
351,7000,Denmark,Company B,67_1,665
352,7000,Denmark,Company B,67_1,66
353,7000,Denmark,Company B,67_1,70
354,7000,Denmark,Company B,67_1,630
355,7000,Denmark,Company B,91_4,49
356,7000,Denmark,Company B,91_4,527
357,7000,Denmark,Company B,32_9,590
358,7000,Denmark,Company B,32_9,592
359,7000,Denmark,Company B,32_9,94
360,7000,Denmark,Company B,32_9,91
361,7000,Denmark,Company B,32_9,92
362,7000,Denmark,Company B,32_9,56
363,7000,Denmark,Company B,32_9,90
364,7000,Denmark,Company B,32_9,595
365,7000,Denmark,Company B,32_9,95
366,7000,Denmark,Company B,32_9,589
367,7000,Denmark,Company B,32_9,594
368,7000,Denmark,Company B,32_9,596
369,7000,Denmark,Company B,32_9,93
370,7000,Denmark,Company B,32_9,591
371,7000,Denmark,Company B,32_9,597
372,7000,Denmark,Company B,32_9,593
373,7000,Denmark,Company B,32_9,633
374,7000,Denmark,Company C,76_4,639
375,7000,Denmark,Company C,76_4,601
376,7000,Denmark,Company C,76_4,189
377,7000,Denmark,Company C,76_4,399
378,7000,Denmark,Company C,95_5,161
379,7000,Denmark,Company C,95_5,452
380,7000,Denmark,Company C,95_5,171
381,7000,Denmark,Company C,95_5,162
382,7000,Denmark,Company C,95_5,165
383,7000,Denmark,Company C,95_5,167
384,7000,Denmark,Company C,95_5,164
385,7000,Denmark,Company C,95_5,166
386,7000,Denmark,Company C,95_5,168
387,7000,Denmark,Company C,95_5,169
388,7000,Denmark,Company C,95_5,170
389,7000,Denmark,Company C,95_5,157
390,7000,Denmark,Company C,95_5,163
391,7000,Denmark,Company C,98_1,176
392,7000,Denmark,Company C,98_1,181
393,7000,Denmark,Company C,98_1,177
394,7000,Denmark,Company C,98_1,178
395,7000,Denmark,Company C,98_1,179
396,7000,Denmark,Company C,98_1,175
397,7000,Denmark,Company C,98_1,151
398,7000,Denmark,Company C,98_1,183
399,7000,Denmark,Company C,98_1,180
400,7000,Denmark,Company C,98_1,174
401,7000,Denmark,Company C,26_4,195
402,7000,Denmark,Company C,99_1,184
403,7000,Denmark,Company C,99_1,549
404,7000,Denmark,Company C,99_1,186
405,7000,Denmark,Company C,99_1,377
406,7000,Denmark,Company C,99_1,185
407,7000,Denmark,Company D,23_5,211
408,7000,Denmark,Company D,23_5,223
409,7000,Denmark,Company D,23_5,208
410,7000,Denmark,Company D,23_5,214
411,7000,Denmark,Company D,23_5,218
412,7000,Denmark,Company D,23_5,198
413,7000,Denmark,Company D,23_5,199
414,7000,Denmark,Company D,23_5,200
415,7000,Denmark,Company D,23_5,205
416,7000,Denmark,Company D,23_5,206
417,7000,Denmark,Company D,23_5,210
418,7000,Denmark,Company D,23_5,616
419,7000,Denmark,Company D,23_5,50
420,7000,Denmark,Company D,23_5,202
421,7000,Denmark,Company D,23_5,203
422,7000,Denmark,Company D,23_5,207
423,7000,Denmark,Company D,23_5,212
424,7000,Denmark,Company D,23_5,213
425,7000,Denmark,Company D,23_5,216
426,7000,Denmark,Company D,23_5,222
427,7000,Denmark,Company D,23_5,669
428,7000,Denmark,Company D,23_5,173
429,7000,Denmark,Company D,23_5,201
430,7000,Denmark,Company D,23_5,209
431,7000,Denmark,Company D,23_5,215
432,7000,Denmark,Company D,23_5,221
433,7000,Denmark,Company D,23_5,227
434,7000,Denmark,Company D,23_5,226
435,7000,Denmark,Company D,23_5,651
436,7000,Denmark,Company D,23_5,182
437,7000,Denmark,Company D,23_5,217
438,7000,Denmark,Company D,23_5,220
439,7000,Denmark,Company D,23_5,224
440,7000,Denmark,Company D,23_5,225
441,7000,Denmark,Company D,23_5,545
442,7000,Denmark,Company D,23_5,613
443,7000,Denmark,Company D,23_5,617
444,7000,Denmark,Company D,23_5,204
445,7000,Denmark,Company D,23_5,219
446,7000,Denmark,Company D,77_7,301
447,7000,Denmark,Company D,77_7,401
448,7000,Denmark,Company D,77_7,235
449,7000,Denmark,Company D,77_7,236
450,7000,Denmark,Company D,77_7,237
451,7000,Denmark,Company D,77_7,308
452,7000,Denmark,Company D,77_7,402
453,7000,Denmark,Company D,77_7,619
454,7000,Denmark,Company D,77_7,239
455,7000,Denmark,Company D,77_7,240
456,7000,Denmark,Company D,77_7,303
457,7000,Denmark,Company D,77_7,304
458,7000,Denmark,Company D,77_7,305
459,7000,Denmark,Company D,77_7,306
460,7000,Denmark,Company D,77_7,548
461,7000,Denmark,Company D,77_7,618
462,7000,Denmark,Company D,77_7,300
463,7000,Denmark,Company D,77_7,309
464,7000,Denmark,Company D,77_7,404
465,7000,Denmark,Company D,77_7,653
466,7000,Denmark,Company D,77_7,229
467,7000,Denmark,Company D,77_7,234
